done,split,idx_in_split,overlay_path,image_path,mask_path,checker,check_date,notes
"","training","25","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_46.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_46.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_46.png","","",""
"","training","26","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_48.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_48.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_48.png","","",""
"","training","27","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_49.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_49.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_49.png","","",""
"","training","28","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_50.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_50.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_50.png","","",""
"","training","29","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_51.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_51.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_51.png","","",""
"","training","30","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_52.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_52.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_52.png","","",""
"","training","31","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_53.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_53.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_53.png","","",""
"","training","32","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_57.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_57.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_57.png","","",""
"","training","33","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_58.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_58.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_58.png","","",""
"","training","34","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_60.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_60.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_60.png","","",""
"","training","35","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_61.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_61.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_61.png","","",""
"","training","36","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_64.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_64.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_64.png","","",""
"","training","37","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_65.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_65.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_65.png","","",""
"","training","38","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_0.jpg","data/CLP_dataset/clp2k/images/training/harvard_0.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_0.png","","",""
"","training","39","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_1.jpg","data/CLP_dataset/clp2k/images/training/harvard_1.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_1.png","","",""
"","training","40","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_10.jpg","data/CLP_dataset/clp2k/images/training/harvard_10.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_10.png","","",""
"","training","41","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_100.jpg","data/CLP_dataset/clp2k/images/training/harvard_100.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_100.png","","",""
"","training","42","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_11.jpg","data/CLP_dataset/clp2k/images/training/harvard_11.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_11.png","","",""
"","training","43","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_13.jpg","data/CLP_dataset/clp2k/images/training/harvard_13.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_13.png","","",""
"","training","44","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_14.jpg","data/CLP_dataset/clp2k/images/training/harvard_14.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_14.png","","",""
"","training","45","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_15.jpg","data/CLP_dataset/clp2k/images/training/harvard_15.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_15.png","","",""
"","training","46","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_17.jpg","data/CLP_dataset/clp2k/images/training/harvard_17.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_17.png","","",""
"","training","47","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_18.jpg","data/CLP_dataset/clp2k/images/training/harvard_18.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_18.png","","",""
"","training","48","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_19.jpg","data/CLP_dataset/clp2k/images/training/harvard_19.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_19.png","","",""
"","training","49","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_2.jpg","data/CLP_dataset/clp2k/images/training/harvard_2.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_2.png","","",""
"","training","50","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_20.jpg","data/CLP_dataset/clp2k/images/training/harvard_20.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_20.png","","",""
"","training","51","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_23.jpg","data/CLP_dataset/clp2k/images/training/harvard_23.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_23.png","","",""
"","training","52","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_24.jpg","data/CLP_dataset/clp2k/images/training/harvard_24.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_24.png","","",""
"","training","53","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_25.jpg","data/CLP_dataset/clp2k/images/training/harvard_25.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_25.png","","",""
"","training","54","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_26.jpg","data/CLP_dataset/clp2k/images/training/harvard_26.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_26.png","","",""
"","training","55","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_28.jpg","data/CLP_dataset/clp2k/images/training/harvard_28.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_28.png","","",""
"","training","56","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_29.jpg","data/CLP_dataset/clp2k/images/training/harvard_29.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_29.png","","",""
"","training","57","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_3.jpg","data/CLP_dataset/clp2k/images/training/harvard_3.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_3.png","","",""
"","training","58","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_30.jpg","data/CLP_dataset/clp2k/images/training/harvard_30.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_30.png","","",""
"","training","59","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_31.jpg","data/CLP_dataset/clp2k/images/training/harvard_31.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_31.png","","",""
"","training","60","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_32.jpg","data/CLP_dataset/clp2k/images/training/harvard_32.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_32.png","","",""
"","training","61","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_33.jpg","data/CLP_dataset/clp2k/images/training/harvard_33.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_33.png","","",""
"","training","62","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_34.jpg","data/CLP_dataset/clp2k/images/training/harvard_34.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_34.png","","",""
"","training","63","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_36.jpg","data/CLP_dataset/clp2k/images/training/harvard_36.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_36.png","","",""
"","training","64","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_37.jpg","data/CLP_dataset/clp2k/images/training/harvard_37.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_37.png","","",""
"","training","65","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_38.jpg","data/CLP_dataset/clp2k/images/training/harvard_38.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_38.png","","",""
"","training","66","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_4.jpg","data/CLP_dataset/clp2k/images/training/harvard_4.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_4.png","","",""
"","training","67","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_40.jpg","data/CLP_dataset/clp2k/images/training/harvard_40.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_40.png","","",""
"","training","68","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_41.jpg","data/CLP_dataset/clp2k/images/training/harvard_41.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_41.png","","",""
"","training","69","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_42.jpg","data/CLP_dataset/clp2k/images/training/harvard_42.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_42.png","","",""
"","training","70","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_43.jpg","data/CLP_dataset/clp2k/images/training/harvard_43.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_43.png","","",""
"","training","71","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_45.jpg","data/CLP_dataset/clp2k/images/training/harvard_45.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_45.png","","",""
"","training","72","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_46.jpg","data/CLP_dataset/clp2k/images/training/harvard_46.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_46.png","","",""
"","training","73","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_47.jpg","data/CLP_dataset/clp2k/images/training/harvard_47.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_47.png","","",""
"","training","74","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_48.jpg","data/CLP_dataset/clp2k/images/training/harvard_48.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_48.png","","",""
"","training","75","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_49.jpg","data/CLP_dataset/clp2k/images/training/harvard_49.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_49.png","","",""
"","training","76","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_5.jpg","data/CLP_dataset/clp2k/images/training/harvard_5.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_5.png","","",""
"","training","77","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_50.jpg","data/CLP_dataset/clp2k/images/training/harvard_50.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_50.png","","",""
"","training","78","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_51.jpg","data/CLP_dataset/clp2k/images/training/harvard_51.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_51.png","","",""
"","training","79","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_52.jpg","data/CLP_dataset/clp2k/images/training/harvard_52.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_52.png","","",""
"","training","80","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_53.jpg","data/CLP_dataset/clp2k/images/training/harvard_53.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_53.png","","",""
"","training","81","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_55.jpg","data/CLP_dataset/clp2k/images/training/harvard_55.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_55.png","","",""
"","training","82","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_56.jpg","data/CLP_dataset/clp2k/images/training/harvard_56.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_56.png","","",""
"","training","83","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_57.jpg","data/CLP_dataset/clp2k/images/training/harvard_57.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_57.png","","",""
"","training","84","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_58.jpg","data/CLP_dataset/clp2k/images/training/harvard_58.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_58.png","","",""
"","training","85","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_59.jpg","data/CLP_dataset/clp2k/images/training/harvard_59.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_59.png","","",""
"","training","86","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_6.jpg","data/CLP_dataset/clp2k/images/training/harvard_6.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_6.png","","",""
"","training","87","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_60.jpg","data/CLP_dataset/clp2k/images/training/harvard_60.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_60.png","","",""
"","training","88","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_61.jpg","data/CLP_dataset/clp2k/images/training/harvard_61.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_61.png","","",""
"","training","89","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_62.jpg","data/CLP_dataset/clp2k/images/training/harvard_62.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_62.png","","",""
"","training","90","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_64.jpg","data/CLP_dataset/clp2k/images/training/harvard_64.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_64.png","","",""
"","training","91","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_65.jpg","data/CLP_dataset/clp2k/images/training/harvard_65.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_65.png","","",""
"","training","92","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_66.jpg","data/CLP_dataset/clp2k/images/training/harvard_66.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_66.png","","",""
"","training","93","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_67.jpg","data/CLP_dataset/clp2k/images/training/harvard_67.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_67.png","","",""
"","training","94","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_68.jpg","data/CLP_dataset/clp2k/images/training/harvard_68.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_68.png","","",""
"","training","95","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_69.jpg","data/CLP_dataset/clp2k/images/training/harvard_69.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_69.png","","",""
"","training","96","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_7.jpg","data/CLP_dataset/clp2k/images/training/harvard_7.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_7.png","","",""
"","training","97","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_70.jpg","data/CLP_dataset/clp2k/images/training/harvard_70.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_70.png","","",""
"","training","98","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_71.jpg","data/CLP_dataset/clp2k/images/training/harvard_71.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_71.png","","",""
"","training","99","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_72.jpg","data/CLP_dataset/clp2k/images/training/harvard_72.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_72.png","","",""
"","training","100","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_73.jpg","data/CLP_dataset/clp2k/images/training/harvard_73.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_73.png","","",""
"","training","101","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_74.jpg","data/CLP_dataset/clp2k/images/training/harvard_74.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_74.png","","",""
"","training","102","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_75.jpg","data/CLP_dataset/clp2k/images/training/harvard_75.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_75.png","","",""
"","training","103","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_76.jpg","data/CLP_dataset/clp2k/images/training/harvard_76.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_76.png","","",""
"","training","104","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_77.jpg","data/CLP_dataset/clp2k/images/training/harvard_77.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_77.png","","",""
"","training","105","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_79.jpg","data/CLP_dataset/clp2k/images/training/harvard_79.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_79.png","","",""
"","training","106","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_8.jpg","data/CLP_dataset/clp2k/images/training/harvard_8.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_8.png","","",""
"","training","107","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_80.jpg","data/CLP_dataset/clp2k/images/training/harvard_80.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_80.png","","",""
"","training","108","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_81.jpg","data/CLP_dataset/clp2k/images/training/harvard_81.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_81.png","","",""
"","training","109","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_82.jpg","data/CLP_dataset/clp2k/images/training/harvard_82.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_82.png","","",""
"","training","110","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_83.jpg","data/CLP_dataset/clp2k/images/training/harvard_83.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_83.png","","",""
"","training","111","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_84.jpg","data/CLP_dataset/clp2k/images/training/harvard_84.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_84.png","","",""
"","training","112","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_85.jpg","data/CLP_dataset/clp2k/images/training/harvard_85.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_85.png","","",""
"","training","113","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_86.jpg","data/CLP_dataset/clp2k/images/training/harvard_86.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_86.png","","",""
"","training","114","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_87.jpg","data/CLP_dataset/clp2k/images/training/harvard_87.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_87.png","","",""
"","training","115","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_88.jpg","data/CLP_dataset/clp2k/images/training/harvard_88.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_88.png","","",""
"","training","116","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_90.jpg","data/CLP_dataset/clp2k/images/training/harvard_90.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_90.png","","",""
"","training","117","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_91.jpg","data/CLP_dataset/clp2k/images/training/harvard_91.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_91.png","","",""
"","training","118","data/CLP_dataset/clp2k/annotations_overlay/training/harvard_92.jpg","data/CLP_dataset/clp2k/images/training/harvard_92.jpg","data/CLP_dataset/clp2k/annotations/training/harvard_92.png","","",""
